Nomor Perkara,Tanggal Penetapan,Nama Panitera Pengganti,Aktif
58/Pid.Sus-TPK/2019/PN Jkt.Pst,"Senin, 29 Apr. 2019",Belum Dapat Ditampilkan,Ya
57/Pid.Sus-TPK/2019/PN Jkt.Pst,"Senin, 29 Apr. 2019",Belum Dapat Ditampilkan,Ya
61/Pid.Sus-TPK/2019/PN Jkt.Pst,"Selasa, 30 Apr. 2019",Belum Dapat Ditampilkan,Ya
60/Pid.Sus-TPK/2019/PN Jkt.Pst,"Selasa, 30 Apr. 2019",Belum Dapat Ditampilkan,Ya
38/Pid.Sus-TPK/2019/PN Jkt.Pst,"Selasa, 19 Mar. 2019",Belum Dapat Ditampilkan,Ya
42/Pid.Sus-TPK/2019/PN Jkt.Pst,"Selasa, 26 Mar. 2019",Belum Dapat Ditampilkan,Ya
41/Pid.Sus-TPK/2019/PN Jkt.Pst,"Selasa, 26 Mar. 2019",Belum Dapat Ditampilkan,Ya
40/Pid.Sus-TPK/2019/PN Jkt.Pst,"Selasa, 26 Mar. 2019",Belum Dapat Ditampilkan,Ya
39/Pid.Sus-TPK/2019/PN Jkt.Pst,"Selasa, 26 Mar. 2019",Belum Dapat Ditampilkan,Ya
43/Pid.Sus-TPK/2019/PN Jkt.Pst,"Rabu, 27 Mar. 2019",Belum Dapat Ditampilkan,Ya
44/Pid.Sus-TPK/2019/PN Jkt.Pst,"Senin, 01 Apr. 2019",Belum Dapat Ditampilkan,Ya
47/Pid.Sus-TPK/2019/PN Jkt.Pst,"Kamis, 04 Apr. 2019",Belum Dapat Ditampilkan,Ya
46/Pid.Sus-TPK/2019/PN Jkt.Pst,"Kamis, 04 Apr. 2019",Belum Dapat Ditampilkan,Ya
45/Pid.Sus-TPK/2019/PN Jkt.Pst,"Kamis, 04 Apr. 2019",Belum Dapat Ditampilkan,Ya
48/Pid.Sus-TPK/2019/PN Jkt.Pst,"Kamis, 04 Apr. 2019",Belum Dapat Ditampilkan,Ya
49/Pid.Sus-TPK/2019/PN Jkt.Pst,"Selasa, 09 Apr. 2019",Belum Dapat Ditampilkan,Ya
53/Pid.Sus-TPK/2019/PN Jkt.Pst,"Rabu, 10 Apr. 2019",Belum Dapat Ditampilkan,Ya
52/Pid.Sus-TPK/2019/PN Jkt.Pst,"Rabu, 10 Apr. 2019",Belum Dapat Ditampilkan,Ya
51/Pid.Sus-TPK/2019/PN Jkt.Pst,"Rabu, 10 Apr. 2019",Belum Dapat Ditampilkan,Ya
50/Pid.Sus-TPK/2019/PN Jkt.Pst,"Rabu, 10 Apr. 2019",Belum Dapat Ditampilkan,Ya
56/Pid.Sus-TPK/2019/PN Jkt.Pst,"Kamis, 25 Apr. 2019",Belum Dapat Ditampilkan,Ya
55/Pid.Sus-TPK/2019/PN Jkt.Pst,"Kamis, 25 Apr. 2019",Belum Dapat Ditampilkan,Ya
54/Pid.Sus-TPK/2019/PN Jkt.Pst,"Kamis, 25 Apr. 2019",Belum Dapat Ditampilkan,Ya
59/Pid.Sus-TPK/2019/PN Jkt.Pst,"Senin, 29 Apr. 2019",Belum Dapat Ditampilkan,Ya
17/Pid.Sus-TPK/2019/PN Jkt.Pst,"Senin, 04 Feb. 2019",Belum Dapat Ditampilkan,Ya
16/Pid.Sus-TPK/2019/PN Jkt.Pst,"Senin, 04 Feb. 2019",Belum Dapat Ditampilkan,Ya
20/Pid.Sus-TPK/2019/PN Jkt.Pst,"Kamis, 07 Feb. 2019",Belum Dapat Ditampilkan,Ya
21/Pid.Sus-TPK/2019/PN Jkt.Pst,"Selasa, 12 Feb. 2019",Belum Dapat Ditampilkan,Ya
24/Pid.Sus-TPK/2019/PN Jkt.Pst,"Kamis, 21 Feb. 2019",Belum Dapat Ditampilkan,Ya
23/Pid.Sus-TPK/2019/PN Jkt.Pst,"Kamis, 21 Feb. 2019",Belum Dapat Ditampilkan,Ya
22/Pid.Sus-TPK/2019/PN Jkt.Pst,"Kamis, 21 Feb. 2019",Belum Dapat Ditampilkan,Ya
25/Pid.Sus-TPK/2019/PN Jkt.Pst,"Kamis, 28 Feb. 2019",Belum Dapat Ditampilkan,Ya
26/Pid.Sus-TPK/2019/PN Jkt.Pst,"Kamis, 28 Feb. 2019",Belum Dapat Ditampilkan,Ya
27/Pid.Sus-TPK/2019/PN Jkt.Pst,"Kamis, 28 Feb. 2019",Belum Dapat Ditampilkan,Ya
28/Pid.Sus-TPK/2019/PN Jkt.Pst,"Kamis, 28 Feb. 2019",Belum Dapat Ditampilkan,Ya
29/Pid.Sus-TPK/2019/PN Jkt.Pst,"Senin, 04 Mar. 2019",Belum Dapat Ditampilkan,Ya
30/Pid.Sus-TPK/2019/PN Jkt.Pst,"Selasa, 05 Mar. 2019",Belum Dapat Ditampilkan,Ya
32/Pid.Sus-TPK/2019/PN Jkt.Pst,"Rabu, 06 Mar. 2019",Belum Dapat Ditampilkan,Ya
31/Pid.Sus-TPK/2019/PN Jkt.Pst,"Rabu, 06 Mar. 2019",Belum Dapat Ditampilkan,Ya
33/Pid.Sus-TPK/2019/PN Jkt.Pst,"Rabu, 06 Mar. 2019",Belum Dapat Ditampilkan,Ya
34/Pid.Sus-TPK/2019/PN Jkt.Pst,"Senin, 11 Mar. 2019",Belum Dapat Ditampilkan,Ya
35/Pid.Sus-TPK/2019/PN Jkt.Pst,"Senin, 11 Mar. 2019",Belum Dapat Ditampilkan,Ya
36/Pid.Sus-TPK/2019/PN Jkt.Pst,"Jumat, 15 Mar. 2019",Belum Dapat Ditampilkan,Ya
37/Pid.Sus-TPK/2019/PN Jkt.Pst,"Senin, 18 Mar. 2019",Belum Dapat Ditampilkan,Ya
102/Pid.Sus-TPK/2018/PN Jkt.Pst,"Jumat, 07 Des. 2018","TATI DORESLY SIMAMORA, SH",Ya
104/Pid.Sus-TPK/2018/PN Jkt.Pst,"Senin, 17 Des. 2018","AGUSTIATI JAMILAH, SH.",Ya
105/Pid.Sus-TPK/2018/PN Jkt.Pst,"Senin, 17 Des. 2018",Belum Dapat Ditampilkan,Ya
2/Pid.Sus-TPK/2019/PN Jkt.Pst,"Rabu, 02 Jan. 2019",Belum Dapat Ditampilkan,Ya
1/Pid.Sus-TPK/2019/PN Jkt.Pst,"Rabu, 02 Jan. 2019",Belum Dapat Ditampilkan,Ya
6/Pid.Sus-TPK/2019/PN Jkt.Pst,"Jumat, 04 Jan. 2019",Belum Dapat Ditampilkan,Ya
5/Pid.Sus-TPK/2019/PN Jkt.Pst,"Jumat, 04 Jan. 2019",Belum Dapat Ditampilkan,Ya
4/Pid.Sus-TPK/2019/PN Jkt.Pst,"Kamis, 03 Jan. 2019",AGUS WAWAN,Ya
3/Pid.Sus-TPK/2019/PN Jkt.Pst,"Kamis, 03 Jan. 2019",PUDJI SUMARTONO,Ya
8/Pid.Sus-TPK/2019/PN Jkt.Pst,"Selasa, 08 Jan. 2019",Belum Dapat Ditampilkan,Ya
7/Pid.Sus-TPK/2019/PN Jkt.Pst,"Selasa, 08 Jan. 2019","AGUSTIATI JAMILAH, SH.",Ya
9/Pid.Sus-TPK/2019/PN Jkt.Pst,"Rabu, 09 Jan. 2019","ROMA SIALLAGAN, SH.",Ya
12/Pid.Sus-TPK/2019/PN Jkt.Pst,"Jumat, 11 Jan. 2019",Belum Dapat Ditampilkan,Tidak
12/Pid.Sus-TPK/2019/PN Jkt.Pst,"Senin, 04 Mar. 2019",Belum Dapat Ditampilkan,Ya
11/Pid.Sus-TPK/2019/PN Jkt.Pst,"Senin, 14 Jan. 2019",Belum Dapat Ditampilkan,Ya
10/Pid.Sus-TPK/2019/PN Jkt.Pst,"Jumat, 11 Jan. 2019",Belum Dapat Ditampilkan,Ya
14/Pid.Sus-TPK/2019/PN Jkt.Pst,"Rabu, 16 Jan. 2019",Belum Dapat Ditampilkan,Ya
13/Pid.Sus-TPK/2019/PN Jkt.Pst,"Rabu, 16 Jan. 2019",Belum Dapat Ditampilkan,Ya
15/Pid.Sus-TPK/2019/PN Jkt.Pst,"Jumat, 18 Jan. 2019",Belum Dapat Ditampilkan,Ya
19/Pid.Sus-TPK/2019/PN Jkt.Pst,"Senin, 04 Feb. 2019",Belum Dapat Ditampilkan,Ya
18/Pid.Sus-TPK/2019/PN Jkt.Pst,"Senin, 04 Feb. 2019",Belum Dapat Ditampilkan,Ya
85/Pid.Sus-TPK/2018/PN Jkt.Pst,"Kamis, 11 Okt. 2018","AGUSTIATI JAMILAH, SH.",Ya
84/Pid.Sus-TPK/2018/PN Jkt.Pst,"Kamis, 11 Okt. 2018",SUNDARNI,Ya
83/Pid.Sus-TPK/2018/PN Jkt.Pst,"Kamis, 11 Okt. 2018","ENDANG_PURWANINGSIH, SH.",Ya
82/Pid.Sus-TPK/2018/PN Jkt.Pst,"Kamis, 11 Okt. 2018",DHENY INDARTO,Ya
87/Pid.Sus-TPK/2018/PN Jkt.Pst,"Kamis, 11 Okt. 2018",ALDINO HERYANTO,Ya
89/Pid.Sus-TPK/2018/PN Jkt.Pst,"Rabu, 24 Okt. 2018",ACHMAD DINDIN JUNAEDI,Ya
88/Pid.Sus-TPK/2018/PN Jkt.Pst,"Rabu, 24 Okt. 2018",EDWARD WILLY,Ya
90/Pid.Sus-TPK/2018/PN Jkt.Pst,"Senin, 29 Okt. 2018",PUDJI SUMARTONO,Ya
92/Pid.Sus-TPK/2018/PN Jkt.Pst,"Jumat, 09 Nov. 2018","AGUSTIATI JAMILAH, SH.",Ya
91/Pid.Sus-TPK/2018/PN Jkt.Pst,"Jumat, 09 Nov. 2018",SUNDARNI,Ya
94/Pid.Sus-TPK/2018/PN Jkt.Pst,"Senin, 12 Nov. 2018","TATI DORESLY SIMAMORA, SH",Ya
93/Pid.Sus-TPK/2018/PN Jkt.Pst,"Senin, 12 Nov. 2018","FATONI, SH",Ya
96/Pid.Sus-TPK/2018/PN Jkt.Pst,"Selasa, 13 Nov. 2018",SUNDARNI,Ya
95/Pid.Sus-TPK/2018/PN Jkt.Pst,"Selasa, 13 Nov. 2018",EKO BUDIARNO,Ya
99/Pid.Sus-TPK/2018/PN Jkt.Pst,"Kamis, 15 Nov. 2018",WIDIA FITRIANTI,Ya
98/Pid.Sus-TPK/2018/PN Jkt.Pst,"Kamis, 15 Nov. 2018","TATI DORESLY SIMAMORA, SH",Ya
97/Pid.Sus-TPK/2018/PN Jkt.Pst,"Kamis, 15 Nov. 2018",EKO BUDIARNO,Ya
100/Pid.Sus-TPK/2018/PN Jkt.Pst,"Jumat, 23 Nov. 2018",WIDIA FITRIANTI,Ya
101/Pid.Sus-TPK/2018/PN Jkt.Pst,"Rabu, 28 Nov. 2018",AGNASIA MARLIANA TUBALAWONY,Ya
103/Pid.Sus-TPK/2018/PN Jkt.Pst,"Jumat, 07 Des. 2018",EKO BUDIARNO,Ya
63/Pid.Sus-TPK/2018/PN Jkt.Pst,"Senin, 23 Jul. 2018",AGNASIA MARLIANA TUBALAWONY,Ya
62/Pid.Sus-TPK/2018/PN Jkt.Pst,"Senin, 23 Jul. 2018",ALDINO HERYANTO,Ya
65/Pid.Sus-TPK/2018/PN Jkt.Pst,"Senin, 23 Jul. 2018",YURIS DHETIAWAN,Ya
66/Pid.Sus-TPK/2018/PN Jkt.Pst,"Jumat, 03 Agu. 2018",Belum Dapat Ditampilkan,Ya
67/Pid.Sus-TPK/2018/PN Jkt.Pst,"Selasa, 07 Agu. 2018",ACHMAD DINDIN JUNAEDI,Ya
71/Pid.Sus-TPK/2018/PN Jkt.Pst,"Kamis, 09 Agu. 2018",MIS NANI BM GULTOM,Ya
70/Pid.Sus-TPK/2018/PN Jkt.Pst,"Kamis, 09 Agu. 2018",AGNASIA MARLIANA TUBALAWONY,Ya
69/Pid.Sus-TPK/2018/PN Jkt.Pst,"Kamis, 09 Agu. 2018",ALDINO HERYANTO,Ya
68/Pid.Sus-TPK/2018/PN Jkt.Pst,"Kamis, 09 Agu. 2018",EDWARD WILLY,Ya
72/Pid.Sus-TPK/2018/PN Jkt.Pst,"Senin, 20 Agu. 2018","ROMA SIALLAGAN, SH.",Ya
74/Pid.Sus-TPK/2018/PN Jkt.Pst,"Kamis, 30 Agu. 2018",PUDJI SUMARTONO,Ya
73/Pid.Sus-TPK/2018/PN Jkt.Pst,"Kamis, 30 Agu. 2018",ACHMAD DINDIN JUNAEDI,Ya
75/Pid.Sus-TPK/2018/PN Jkt.Pst,"Kamis, 13 Sep. 2018","ENDANG_PURWANINGSIH, SH.",Ya
76/Pid.Sus-TPK/2018/PN Jkt.Pst,"Kamis, 13 Sep. 2018",MARTHIN TURNIP,Ya
78/Pid.Sus-TPK/2018/PN Jkt.Pst,"Jumat, 14 Sep. 2018",EKO NURCAHYO PUJIANTO,Ya
77/Pid.Sus-TPK/2018/PN Jkt.Pst,"Jumat, 14 Sep. 2018",DHENY INDARTO,Ya
79/Pid.Sus-TPK/2018/PN Jkt.Pst,"Senin, 24 Sep. 2018",KHAIRUDDIN,Ya
80/Pid.Sus-TPK/2018/PN Jkt.Pst,"Rabu, 26 Sep. 2018","AGUSTIATI JAMILAH, SH.",Ya
81/Pid.Sus-TPK/2018/PN Jkt.Pst,"Senin, 01 Okt. 2018",KHAIRUDDIN,Ya
86/Pid.Sus-TPK/2018/PN Jkt.Pst,"Kamis, 11 Okt. 2018",AGNASIA MARLIANA TUBALAWONY,Ya
42/Pid.Sus-TPK/2018/PN Jkt.Pst,"Rabu, 09 Mei 2018",TASTAO SIANIPAR,Ya
44/Pid.Sus-TPK/2018/PN Jkt.Pst,"Senin, 14 Mei 2018",SUNDARNI,Ya
45/Pid.Sus-TPK/2018/PN Jkt.Pst,"Jumat, 18 Mei 2018",WIDIA FITRIANTI,Ya
46/Pid.Sus-TPK/2018/PN Jkt.Pst,"Kamis, 31 Mei 2018",ALDINO HERYANTO,Ya
50/Pid.Sus-TPK/2018/PN Jkt.Pst,"Kamis, 31 Mei 2018",AGUS WAWAN,Ya
49/Pid.Sus-TPK/2018/PN Jkt.Pst,"Kamis, 31 Mei 2018","ZUHERNA, SH.",Ya
48/Pid.Sus-TPK/2018/PN Jkt.Pst,"Kamis, 31 Mei 2018",AGUS WAWAN,Ya
47/Pid.Sus-TPK/2018/PN Jkt.Pst,"Kamis, 31 Mei 2018",AGUS WAWAN,Ya
47/Pid.Sus-TPK/2018/PN Jkt.Pst,"Kamis, 31 Mei 2018","R.IDA ISKANDIASTUTI, SH.",Ya
