Nomor Perkara,No,Nama
58/Pid.Sus-TPK/2019/PN Jkt.Pst,1,"RONALD F.W., SH."
57/Pid.Sus-TPK/2019/PN Jkt.Pst,1,"RONALD F.W., SH."
61/Pid.Sus-TPK/2019/PN Jkt.Pst,1,FATONI HATAM
60/Pid.Sus-TPK/2019/PN Jkt.Pst,1,FATONI HATAM
38/Pid.Sus-TPK/2019/PN Jkt.Pst,1,Putra Iskandar
42/Pid.Sus-TPK/2019/PN Jkt.Pst,1,"TIMBUL M., SH."
41/Pid.Sus-TPK/2019/PN Jkt.Pst,1,"TIMBUL M., SH."
40/Pid.Sus-TPK/2019/PN Jkt.Pst,1,"TIMBUL M., SH."
39/Pid.Sus-TPK/2019/PN Jkt.Pst,1,"TIMBUL M., SH."
43/Pid.Sus-TPK/2019/PN Jkt.Pst,1,"IBNU FIRMAN IDE, SH."
44/Pid.Sus-TPK/2019/PN Jkt.Pst,1,"LUKI DWI NUGROHO, SH."
47/Pid.Sus-TPK/2019/PN Jkt.Pst,1,Amir Nurdianto
46/Pid.Sus-TPK/2019/PN Jkt.Pst,1,Amir Nurdianto
45/Pid.Sus-TPK/2019/PN Jkt.Pst,1,Amir Nurdianto
48/Pid.Sus-TPK/2019/PN Jkt.Pst,1,"IBNU FIRMAN IDE, SH."
49/Pid.Sus-TPK/2019/PN Jkt.Pst,1,Amir Nurdianto
53/Pid.Sus-TPK/2019/PN Jkt.Pst,1,"NANANG P., SH."
52/Pid.Sus-TPK/2019/PN Jkt.Pst,1,"NANANG P., SH."
51/Pid.Sus-TPK/2019/PN Jkt.Pst,1,"NANANG P., SH."
50/Pid.Sus-TPK/2019/PN Jkt.Pst,1,"NANANG P., SH."
56/Pid.Sus-TPK/2019/PN Jkt.Pst,1,ELLY SUPAINI
55/Pid.Sus-TPK/2019/PN Jkt.Pst,1,ELLY SUPAINI
54/Pid.Sus-TPK/2019/PN Jkt.Pst,1,"FEBBY SALAHUDDIN, S.Kom, SH"
59/Pid.Sus-TPK/2019/PN Jkt.Pst,1,"SARWOTO, SH., MH"
